user_id,user_url,sentiment_analysis
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2
js41637,http://steamcommunity.com/id/js41637,2
evcentric,http://steamcommunity.com/id/evcentric,2
doctr,http://steamcommunity.com/id/doctr,2
maplemage,http://steamcommunity.com/id/maplemage,2
Wackky,http://steamcommunity.com/id/Wackky,2
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,2
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,2
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,2
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,2
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,2
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,2
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,2
death-hunter,http://steamcommunity.com/id/death-hunter,2
DJKamBer,http://steamcommunity.com/id/DJKamBer,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,0
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,2
PPanther,http://steamcommunity.com/id/PPanther,2
devvonst,http://steamcommunity.com/id/devvonst,2
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,2
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,2
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,2
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,2
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,2
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,2
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,2
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,2
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,2
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,2
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,2
boydeer,http://steamcommunity.com/id/boydeer,2
VVillis,http://steamcommunity.com/id/VVillis,2
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,0
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,2
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,2
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,2
diego9031,http://steamcommunity.com/id/diego9031,2
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,2
76561198078738103,http://steamcommunity.com/profiles/76561198078738103,2
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,2
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,2
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,2
Derp-e,http://steamcommunity.com/id/Derp-e,2
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,2
Rivtex,http://steamcommunity.com/id/Rivtex,2
UTNerd24,http://steamcommunity.com/id/UTNerd24,2
sandwiches1,http://steamcommunity.com/id/sandwiches1,0
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,2
lucaswerg,http://steamcommunity.com/id/lucaswerg,2
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,2
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,2
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,2
TheDropix101,http://steamcommunity.com/id/TheDropix101,2
kube134,http://steamcommunity.com/id/kube134,2
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,2
MainScout,http://steamcommunity.com/id/MainScout,2
gdxsd,http://steamcommunity.com/id/gdxsd,1
yookobz,http://steamcommunity.com/id/yookobz,2
Posiblydead,http://steamcommunity.com/id/Posiblydead,2
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,2
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,2
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,2
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,2
sad-commie,http://steamcommunity.com/id/sad-commie,2
76561198030567998,http://steamcommunity.com/profiles/76561198030567998,2
76561198010674657,http://steamcommunity.com/profiles/76561198010674657,2
Coldaniel,http://steamcommunity.com/id/Coldaniel,2
therealmorty,http://steamcommunity.com/id/therealmorty,2
Berserklejerker,http://steamcommunity.com/id/Berserklejerker,2
76561198061730629,http://steamcommunity.com/profiles/76561198061730629,2
YoHuNz,http://steamcommunity.com/id/YoHuNz,2
possessioniskey,http://steamcommunity.com/id/possessioniskey,0
76561198093112529,http://steamcommunity.com/profiles/76561198093112529,2
76561198060447950,http://steamcommunity.com/profiles/76561198060447950,2
whiteofwolfing,http://steamcommunity.com/id/whiteofwolfing,2
sergarino,http://steamcommunity.com/id/sergarino,2
76561198081962345,http://steamcommunity.com/profiles/76561198081962345,2
76561198094224872,http://steamcommunity.com/profiles/76561198094224872,1
76561198073210139,http://steamcommunity.com/profiles/76561198073210139,0
Nozomikat,http://steamcommunity.com/id/Nozomikat,2
